         177186 function calls (176234 primitive calls) in 15.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 enum.py:914(_create_pseudo_member_)
        1    0.000    0.000    0.002    0.002 enum.py:947(__or__)
       22    0.002    0.000    0.005    0.000 enum.py:953(__and__)
        1    0.000    0.000    0.001    0.001 enum.py:993(_decompose)
        1    0.001    0.001    0.096    0.096 events.py:1(<module>)
      261    0.015    0.000    0.032    0.000 events.py:103(__init__)
      261    0.034    0.000    0.052    0.000 events.py:148(cancel)
        1    0.000    0.000    0.000    0.000 events.py:162(AbstractServer)
        1    0.001    0.001    0.001    0.001 events.py:204(AbstractEventLoop)
        1    0.000    0.000    0.000    0.000 events.py:24(Handle)
      535    0.026    0.000    0.033    0.000 events.py:31(__init__)
        1    0.000    0.000    0.000    0.000 events.py:575(AbstractEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 events.py:609(BaseDefaultEventLoopPolicy)
        1    0.000    0.000    0.000    0.000 events.py:624(_Local)
        1    0.000    0.000    0.000    0.000 events.py:628(__init__)
      262    0.014    0.000    0.016    0.000 events.py:64(cancel)
        2    0.000    0.000    0.000    0.000 events.py:647(set_event_loop)
        1    0.000    0.000    0.006    0.006 events.py:653(new_event_loop)
        1    0.000    0.000    0.000    0.000 events.py:673(_RunningLoop)
        1    0.000    0.000    0.001    0.001 events.py:714(_init_event_loop_policy)
        3    0.000    0.000    0.001    0.000 events.py:722(get_event_loop_policy)
        2    0.000    0.000    0.000    0.000 events.py:754(set_event_loop)
        1    0.000    0.000    0.007    0.007 events.py:759(new_event_loop)
     1389    0.074    0.000    9.218    0.007 events.py:78(_run)
        1    0.000    0.000    0.000    0.000 events.py:98(TimerHandle)
        1    0.000    0.000    0.001    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(TimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:17(InvalidStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:21(SendfileNotAvailableError)
        1    0.000    0.000    0.000    0.000 exceptions.py:29(IncompleteReadError)
        1    0.000    0.000    0.000    0.000 exceptions.py:47(LimitOverrunError)
        1    0.000    0.000    0.000    0.000 exceptions.py:9(CancelledError)
        1    0.000    0.000    0.001    0.001 format_helpers.py:1(<module>)
        6    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
        6    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.001    0.001    0.007    0.007 futures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:29(Future)
        6    0.000    0.000    0.000    0.000 futures.py:296(_get_loop)
      261    0.008    0.000    0.085    0.000 futures.py:308(_set_result_unless_cancelled)
        1    0.000    0.000    0.154    0.154 i2c.py:1(<module>)
        1    0.000    0.000    0.000    0.000 i2c.py:15(__init__)
     2044    0.100    0.000    2.386    0.001 i2c.py:45(writeto)
        1    0.000    0.000    0.000    0.000 i2c.py:5(I2C)
      264    0.027    0.000    0.164    0.001 i2c.py:51(readfrom_into)
     2306    0.084    0.000    0.123    0.000 i2c_device.py:136(__enter__)
        1    0.000    0.000    0.000    0.000 i2c_device.py:14(I2CDevice)
     2306    0.066    0.000    0.107    0.000 i2c_device.py:141(__exit__)
        1    0.004    0.004    0.007    0.007 i2c_device.py:145(__probe_for_device)
        1    0.000    0.000    0.007    0.007 i2c_device.py:44(__init__)
        1    0.000    0.000    0.000    0.000 i2c_device.py:5(<module>)
      263    0.015    0.000    0.205    0.001 i2c_device.py:52(readinto)
     2043    0.116    0.000    2.763    0.001 i2c_device.py:69(write)
        1    0.000    0.000    0.000    0.000 idna.py:146(Codec)
        1    0.000    0.000    0.000    0.000 idna.py:147(encode)
        1    0.000    0.000    0.000    0.000 idna.py:218(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 idna.py:253(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 idna.py:292(StreamWriter)
        1    0.000    0.000    0.000    0.000 idna.py:295(StreamReader)
        1    0.000    0.000    0.088    0.088 idna.py:3(<module>)
        1    0.000    0.000    0.000    0.000 idna.py:300(getregentry)
        1    0.000    0.000    0.000    0.000 keypad.py:35(KeyEvent)
        1    0.000    0.000    0.000    0.000 keypad.py:50(Keypad)
        1    0.000    0.000    0.548    0.548 keypad.py:66(__init__)
        1    0.000    0.000    0.033    0.033 keypad.py:7(<module>)
        1    0.000    0.000    0.002    0.002 keypad.py:75(interrupt_enabled)
      261    0.011    0.000    2.888    0.011 keypad.py:86(count)
        1    0.000    0.000    0.007    0.007 locks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 locks.py:12(_ContextManagerMixin)
        1    0.000    0.000    0.000    0.000 locks.py:164(Event)
        1    0.000    0.000    0.000    0.000 locks.py:23(Lock)
        1    0.000    0.000    0.000    0.000 locks.py:232(Condition)
        1    0.000    0.000    0.000    0.000 locks.py:354(Semaphore)
        1    0.000    0.000    0.000    0.000 locks.py:432(BoundedSemaphore)
        1    0.000    0.000    0.001    0.001 log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 micropython.py:1(<module>)
       90    0.000    0.000    0.000    0.000 micropython.py:9(const)
        1    0.001    0.001    0.067    0.067 murica.py:12(raise_flag)
        1    0.000    0.000    0.026    0.026 murica.py:16(lower_flag)
        1    0.000    0.000    0.000    0.000 murica.py:2(<module>)
      888    0.175    0.000    3.038    0.003 neopixel.py:111(__setitem__)
      888    0.030    0.000    0.956    0.001 neopixel.py:168(show)
        1    0.000    0.000    0.000    0.000 neopixel.py:47(NeoPixel)
        1    0.000    0.000    0.006    0.006 neopixel.py:59(__init__)
        1    0.000    0.000    0.001    0.001 neopixel.py:7(<module>)
      888    0.013    0.000    0.013    0.000 neopixel.py:85(brightness)
        1    0.001    0.001    0.070    0.070 neotrellis.py:5(<module>)
        1    0.000    0.000    0.000    0.000 neotrellis.py:56(NeoTrellis)
        1    0.000    0.000    0.556    0.556 neotrellis.py:59(__init__)
      261    0.011    0.000    3.077    0.012 neotrellis.py:73(sync)
        1    0.000    0.000    0.042    0.042 ntp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ntp.py:29(NtpError)
        1    0.000    0.000    0.002    0.002 os.py:44(_get_exports_list)
        1    0.001    0.001    0.001    0.001 os.py:48(<listcomp>)
       11    0.001    0.000    0.002    0.000 os.py:674(__getitem__)
       11    0.001    0.000    0.001    0.000 os.py:754(encode)
        1    0.000    0.000    0.000    0.000 os.py:758(decode)
        1    0.001    0.001    0.013    0.013 osc_bundle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 osc_bundle.py:11(ParseError)
        1    0.000    0.000    0.001    0.001 osc_bundle.py:15(OscBundle)
      857    0.026    0.000    0.052    0.000 osc_bundle.py:70(dgram_is_bundle)
        1    0.000    0.000    0.003    0.003 osc_message.py:1(<module>)
      856    0.015    0.000    0.026    0.000 osc_message.py:106(__iter__)
        1    0.000    0.000    0.002    0.002 osc_message.py:13(OscMessage)
      857    0.047    0.000    0.830    0.001 osc_message.py:20(__init__)
      857    0.259    0.000    0.784    0.001 osc_message.py:25(_parse_datagram)
     1712    0.012    0.000    0.012    0.000 osc_message.py:81(address)
      857    0.017    0.000    0.027    0.000 osc_message.py:86(dgram_is_message)
        1    0.000    0.000    0.000    0.000 osc_message.py:9(ParseError)
        1    0.000    0.000    0.007    0.007 osc_message_builder.py:1(<module>)
        1    0.001    0.001    0.006    0.006 osc_message_builder.py:12(OscMessageBuilder)
        1    0.000    0.000    0.000    0.000 osc_message_builder.py:8(BuildError)
        1    0.000    0.000    0.101    0.101 osc_packet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 osc_packet.py:38(ParseError)
        1    0.000    0.000    0.000    0.000 osc_packet.py:42(OscPacket)
      857    0.122    0.000    1.097    0.001 osc_packet.py:49(__init__)
      856    0.006    0.000    0.006    0.000 osc_packet.py:74(messages)
        1    0.001    0.001    0.025    0.025 osc_server.py:1(<module>)
        1    0.000    0.000    0.000    0.000 osc_server.py:102(AsyncIOOSCUDPServer)
        1    0.000    0.000    0.000    0.000 osc_server.py:108(__init__)
        1    0.000    0.000    0.000    0.000 osc_server.py:122(_OSCProtocolFactory)
        1    0.000    0.000    0.000    0.000 osc_server.py:125(__init__)
      857    0.055    0.000    5.083    0.006 osc_server.py:128(datagram_received)
        1    0.000    0.000    0.000    0.000 osc_server.py:139(create_serve_endpoint)
        1    0.000    0.000    0.000    0.000 osc_server.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 osc_server.py:149(dispatcher)
        1    0.000    0.000    0.000    0.000 osc_server.py:18(_UDPHandler)
        1    0.000    0.000    0.000    0.000 osc_server.py:44(OSCUDPServer)
        1    0.000    0.000    0.000    0.000 osc_server.py:75(BlockingOSCUDPServer)
        1    0.000    0.000    0.000    0.000 osc_server.py:84(ThreadingOSCUDPServer)
        1    0.000    0.000    0.000    0.000 osc_server.py:93(ForkingOSCUDPServer)
        1    0.001    0.001    0.060    0.060 osc_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 osc_types.py:11(ParseError)
        1    0.000    0.000    0.000    0.000 osc_types.py:15(BuildError)
     2569    0.129    0.000    0.198    0.000 osc_types.py:197(get_float)
     1714    0.205    0.000    0.284    0.000 osc_types.py:49(get_string)
        2    0.004    0.002    0.030    0.015 pin.py:1(<module>)
      175    0.001    0.000    0.001    0.000 pin.py:20(__init__)
      4/2    0.000    0.000    0.000    0.000 pin.py:26(__eq__)
        1    0.000    0.000    0.000    0.000 pin.py:5(Pin)
        1    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
        1    0.000    0.000    0.002    0.002 protocols.py:1(<module>)
        1    0.000    0.000    0.000    0.000 protocols.py:109(BufferedProtocol)
        1    0.000    0.000    0.000    0.000 protocols.py:166(DatagramProtocol)
        1    0.000    0.000    0.000    0.000 protocols.py:181(SubprocessProtocol)
        1    0.000    0.000    0.000    0.000 protocols.py:21(connection_made)
        1    0.000    0.000    0.000    0.000 protocols.py:66(Protocol)
        1    0.000    0.000    0.000    0.000 protocols.py:9(BaseProtocol)
        1    0.001    0.001    0.003    0.003 queues.py:1(<module>)
        1    0.000    0.000    0.000    0.000 queues.py:11(QueueEmpty)
        1    0.000    0.000    0.000    0.000 queues.py:16(QueueFull)
        1    0.000    0.000    0.000    0.000 queues.py:21(Queue)
        1    0.000    0.000    0.000    0.000 queues.py:226(PriorityQueue)
        1    0.000    0.000    0.000    0.000 queues.py:242(LifoQueue)
       11    0.000    0.000    0.010    0.001 re.py:198(search)
      861    0.022    0.000    0.291    0.000 re.py:250(compile)
      857    0.026    0.000    0.065    0.000 re.py:270(escape)
      872    0.059    0.000    0.278    0.000 re.py:289(_compile)
        1    0.000    0.000    0.002    0.002 runners.py:1(<module>)
        1    0.000    0.000    0.051    0.051 runners.py:55(_cancel_all_tasks)
        1    0.000    0.000   10.424   10.424 runners.py:8(run)
        1    0.000    0.000    0.000    0.000 samd09.py:34(SAMD09_Pinmap)
        1    0.004    0.004    0.004    0.004 samd09.py:7(<module>)
        1    0.000    0.000    0.000    0.000 seesaw.py:124(Seesaw)
        1    0.000    0.000    0.548    0.548 seesaw.py:136(__init__)
        1    0.000    0.000    0.540    0.540 seesaw.py:144(sw_reset)
        1    0.000    0.000    0.011    0.011 seesaw.py:182(get_version)
        2    0.000    0.000    0.003    0.002 seesaw.py:441(write8)
      262    0.015    0.000    2.888    0.011 seesaw.py:445(read8)
      263    0.036    0.000    2.884    0.011 seesaw.py:451(read)
     2043    0.263    0.000    3.235    0.002 seesaw.py:462(write)
        1    0.001    0.001    0.025    0.025 seesaw.py:5(<module>)
        1    0.001    0.001    0.005    0.005 selector_events.py:1(<module>)
      857    0.077    0.000    5.556    0.006 selector_events.py:1015(_read_ready)
        1    0.000    0.000    0.004    0.004 selector_events.py:106(_make_self_pipe)
        2    0.000    0.000    0.003    0.002 selector_events.py:257(_add_reader)
        1    0.000    0.000    0.001    0.001 selector_events.py:273(_remove_reader)
        1    0.000    0.000    0.000    0.000 selector_events.py:48(BaseSelectorEventLoop)
        1    0.000    0.000    0.006    0.006 selector_events.py:54(__init__)
      912    0.053    0.000    0.124    0.000 selector_events.py:594(_process_events)
        1    0.000    0.000    0.000    0.000 selector_events.py:613(_SelectorTransport)
        1    0.000    0.000    0.001    0.001 selector_events.py:625(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:682(set_protocol)
        1    0.000    0.000    0.001    0.001 selector_events.py:750(_add_reader)
        1    0.000    0.000    0.000    0.000 selector_events.py:757(_SelectorSocketTransport)
        1    0.000    0.000    0.002    0.002 selector_events.py:82(_make_datagram_transport)
        1    0.000    0.000    0.002    0.002 selector_events.py:87(close)
        1    0.000    0.000    0.001    0.001 selector_events.py:98(_close_self_pipe)
        1    0.000    0.000    0.000    0.000 selector_events.py:995(_SelectorDatagramTransport)
        1    0.000    0.000    0.002    0.002 selector_events.py:999(__init__)
        1    0.001    0.001    0.024    0.024 selectors.py:1(<module>)
        3    0.000    0.000    0.001    0.000 selectors.py:181(get_key)
        1    0.000    0.000    0.000    0.000 selectors.py:207(_BaseSelectorImpl)
        6    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:210(__init__)
        6    0.000    0.000    0.000    0.000 selectors.py:216(_fileobj_lookup)
        2    0.000    0.000    0.000    0.000 selectors.py:235(register)
        1    0.000    0.000    0.000    0.000 selectors.py:248(unregister)
        1    0.000    0.000    0.000    0.000 selectors.py:269(close)
        3    0.000    0.000    0.000    0.000 selectors.py:273(get_map)
      857    0.012    0.000    0.012    0.000 selectors.py:276(_key_from_fd)
        1    0.000    0.000    0.000    0.000 selectors.py:291(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:342(_PollLikeSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:348(__init__)
        2    0.000    0.000    0.001    0.000 selectors.py:352(register)
        1    0.000    0.000    0.000    0.000 selectors.py:366(unregister)
        1    0.000    0.000    0.000    0.000 selectors.py:434(PollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:443(EpollSelector)
      912    0.135    0.000    0.626    0.001 selectors.py:452(select)
        1    0.000    0.000    0.000    0.000 selectors.py:484(close)
        2    0.000    0.000    0.000    0.000 selectors.py:584(_can_use)
        1    0.000    0.000    0.000    0.000 selectors.py:61(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:64(__init__)
        3    0.000    0.000    0.001    0.000 selectors.py:70(__getitem__)
        1    0.000    0.000    0.000    0.000 selectors.py:81(BaseSelector)
        1    0.000    0.000    2.095    2.095 server.py:40(salute)
      856    0.134    0.000    3.080    0.004 server.py:61(default_handler)
      262    0.029    0.000    3.314    0.013 server.py:70(loop)
      263    0.005    0.000    3.322    0.013 server.py:78(init_main)
        1    0.001    0.001   15.321   15.321 server.py:8(<module>)
        1    0.000    0.000    0.000    0.000 settings.py:1(<module>)
        1    0.001    0.001    0.047    0.047 signal.py:1(<module>)
       76    0.002    0.000    0.003    0.000 signal.py:10(<lambda>)
       77    0.000    0.000    0.000    0.000 signal.py:17(<lambda>)
       78    0.001    0.000    0.001    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 smbus.py:112(SMBus)
        1    0.000    0.000    0.000    0.000 smbus.py:117(__init__)
        1    0.000    0.000    0.000    0.000 smbus.py:143(open)
     2308    0.106    0.000    0.501    0.000 smbus.py:163(_select_device)
      264    0.012    0.000    0.135    0.001 smbus.py:175(read_bytes)
        1    0.000    0.000    0.134    0.134 smbus.py:23(<module>)
     2044    0.118    0.000    2.249    0.001 smbus.py:308(write_bytes)
        1    0.000    0.000    0.000    0.000 smbus.py:69(i2c_msg)
        1    0.000    0.000    0.000    0.000 smbus.py:80(i2c_rdwr_ioctl_data)
        1    0.000    0.000    0.000    0.000 socket.py:211(_GiveupOnSendfile)
        1    0.000    0.000    0.000    0.000 socket.py:214(socket)
        4    0.001    0.000    0.001    0.000 socket.py:220(__init__)
        1    0.003    0.003    0.177    0.177 socket.py:4(<module>)
        2    0.000    0.000    0.000    0.000 socket.py:493(_real_close)
        2    0.000    0.000    0.000    0.000 socket.py:497(close)
        1    0.000    0.000    0.001    0.001 socket.py:593(socketpair)
        1    0.000    0.000    0.000    0.000 socket.py:661(SocketIO)
      368    0.006    0.000    0.011    0.000 socket.py:78(<lambda>)
      369    0.010    0.000    0.015    0.000 socket.py:83(<lambda>)
      370    0.006    0.000    0.011    0.000 socket.py:88(<lambda>)
      371    0.006    0.000    0.010    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.105    0.105 socket.py:936(getaddrinfo)
        2    0.000    0.000    0.000    0.000 socket.py:99(_intenum_converter)
        1    0.001    0.001    0.006    0.006 socketserver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socketserver.py:153(BaseServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:390(TCPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:516(UDPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:543(ForkingMixIn)
        1    0.000    0.000    0.000    0.000 socketserver.py:631(_Threads)
        1    0.000    0.000    0.000    0.000 socketserver.py:653(_NoThreads)
        1    0.000    0.000    0.000    0.000 socketserver.py:664(ThreadingMixIn)
        1    0.000    0.000    0.000    0.000 socketserver.py:705(ForkingUDPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:706(ForkingTCPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:708(ThreadingUDPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:709(ThreadingTCPServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:713(UnixStreamServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:716(UnixDatagramServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:719(ThreadingUnixStreamServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:721(ThreadingUnixDatagramServer)
        1    0.000    0.000    0.000    0.000 socketserver.py:723(BaseRequestHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:769(StreamRequestHandler)
        1    0.000    0.000    0.000    0.000 socketserver.py:814(_SocketWriter)
        1    0.000    0.000    0.000    0.000 socketserver.py:833(DatagramRequestHandler)
       24    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       24    0.044    0.002    0.053    0.002 sre_compile.py:276(_optimize_charset)
        8    0.001    0.000    0.006    0.001 sre_compile.py:411(_mk_bitmap)
        8    0.005    0.001    0.005    0.001 sre_compile.py:413(<listcomp>)
        4    0.000    0.000    0.001    0.000 sre_compile.py:416(_bytes_to_codes)
       29    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
       18    0.001    0.000    0.001    0.000 sre_compile.py:432(_generate_overlap_table)
       24    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       21    0.002    0.000    0.002    0.000 sre_compile.py:461(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       22    0.004    0.000    0.035    0.002 sre_compile.py:536(_compile_info)
       44    0.001    0.000    0.001    0.000 sre_compile.py:595(isstring)
       22    0.002    0.000    0.098    0.004 sre_compile.py:598(_code)
       16    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
    83/22    0.016    0.000    0.062    0.003 sre_compile.py:71(_compile)
       22    0.004    0.000    0.189    0.009 sre_compile.py:759(compile)
       84    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      159    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
      539    0.008    0.000    0.012    0.000 sre_parse.py:164(__getitem__)
       30    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      236    0.004    0.000    0.005    0.000 sre_parse.py:172(append)
    97/36    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
       22    0.001    0.000    0.001    0.000 sre_parse.py:224(__init__)
      706    0.012    0.000    0.012    0.000 sre_parse.py:233(__next)
      184    0.002    0.000    0.002    0.000 sre_parse.py:249(match)
      606    0.008    0.000    0.018    0.000 sre_parse.py:254(get)
        4    0.000    0.000    0.001    0.000 sre_parse.py:267(getuntil)
      100    0.002    0.000    0.003    0.000 sre_parse.py:286(tell)
        3    0.000    0.000    0.000    0.000 sre_parse.py:288(seek)
       23    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
       12    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
    39/22    0.004    0.000    0.080    0.004 sre_parse.py:435(_parse_sub)
    48/22    0.024    0.000    0.077    0.003 sre_parse.py:493(_parse)
       22    0.001    0.000    0.001    0.000 sre_parse.py:76(__init__)
       72    0.001    0.000    0.001    0.000 sre_parse.py:81(groups)
       14    0.001    0.000    0.001    0.000 sre_parse.py:84(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
       22    0.001    0.000    0.001    0.000 sre_parse.py:921(fix_flags)
       22    0.002    0.000    0.085    0.004 sre_parse.py:937(parse)
       14    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
      121    0.001    0.000    0.002    0.000 ssl.py:124(<lambda>)
      121    0.001    0.000    0.002    0.000 ssl.py:129(<lambda>)
      121    0.001    0.000    0.003    0.000 ssl.py:134(<lambda>)
      121    0.001    0.000    0.002    0.000 ssl.py:139(<lambda>)
      121    0.001    0.000    0.002    0.000 ssl.py:144(<lambda>)
      121    0.001    0.000    0.002    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:153(<dictcomp>)
        1    0.000    0.000    0.002    0.002 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.002    0.002 ssl.py:168(_TLSContentType)
        1    0.000    0.000    0.009    0.009 ssl.py:182(_TLSAlertType)
        1    0.000    0.000    0.006    0.006 ssl.py:223(_TLSMessageType)
        1    0.002    0.002    0.251    0.251 ssl.py:4(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:446(_ASN1Object)
        4    0.000    0.000    0.001    0.000 ssl.py:451(__new__)
        1    0.000    0.000    0.001    0.001 ssl.py:467(Purpose)
        1    0.000    0.000    0.000    0.000 ssl.py:474(SSLContext)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
       15    0.000    0.000    0.000    0.000 ssl.py:965(_sslcopydoc)
        1    0.000    0.000    0.001    0.001 ssl.py:971(SSLSocket)
        1    0.000    0.000    0.029    0.029 sslproto.py:1(<module>)
        1    0.003    0.003    0.003    0.003 sslproto.py:283(_SSLProtocolTransport)
        1    0.000    0.000    0.000    0.000 sslproto.py:35(_SSLPipe)
        1    0.000    0.000    0.000    0.000 sslproto.py:403(SSLProtocol)
        1    0.001    0.001    0.102    0.102 staggered.py:1(<module>)
        1    0.001    0.001    0.004    0.004 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:135(FlowControlMixin)
        1    0.000    0.000    0.000    0.000 streams.py:203(StreamReaderProtocol)
        1    0.000    0.000    0.000    0.000 streams.py:310(StreamWriter)
        1    0.000    0.000    0.000    0.000 streams.py:390(StreamReader)
        1    0.000    0.000    0.035    0.035 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string.py:159(Formatter)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        1    0.000    0.000    0.031    0.031 string.py:69(__init_subclass__)
        1    0.002    0.002    0.022    0.022 stringprep.py:2(<module>)
        1    0.000    0.000    0.008    0.008 struct.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.001    0.001    0.081    0.081 subprocess.py:10(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:105(SubprocessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:108(CalledProcessError)
        1    0.000    0.000    0.000    0.000 subprocess.py:116(Process)
        1    0.000    0.000    0.000    0.000 subprocess.py:145(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 subprocess.py:18(SubprocessStreamProtocol)
        1    0.000    0.000    0.000    0.000 subprocess.py:428(CompletedProcess)
        1    0.000    0.000    0.000    0.000 subprocess.py:650(_use_posix_spawn)
        1    0.000    0.000    0.000    0.000 subprocess.py:700(Popen)
        1    0.001    0.001    0.004    0.004 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tasks.py:41(all_tasks)
        1    0.000    0.000    0.000    0.000 tasks.py:60(<setcomp>)
      522    0.039    0.000    0.208    0.000 tasks.py:636(sleep)
        5    0.000    0.000    0.002    0.000 tasks.py:659(ensure_future)
        1    0.000    0.000    0.000    0.000 tasks.py:695(_GatheringFuture)
        1    0.000    0.000    0.000    0.000 tasks.py:703(__init__)
        1    0.000    0.000    0.001    0.001 tasks.py:723(gather)
        1    0.000    0.000    0.000    0.000 tasks.py:764(_done_callback)
        1    0.000    0.000    0.000    0.000 tasks.py:98(Task)
        1    0.001    0.001    0.006    0.006 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1107(daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1189(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 threading.py:1242(Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1272(_MainThread)
        1    0.000    0.000    0.001    0.001 threading.py:1274(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1293(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:216(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:351(notify)
        1    0.000    0.000    0.000    0.000 threading.py:374(notify_all)
        1    0.000    0.000    0.000    0.000 threading.py:386(Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:469(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:510(Event)
        1    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:535(set)
        1    0.000    0.000    0.000    0.000 threading.py:589(Barrier)
        1    0.000    0.000    0.000    0.000 threading.py:743(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 threading.py:766(Thread)
        1    0.000    0.000    0.001    0.001 threading.py:777(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:918(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:922(_set_native_id)
        1    0.000    0.000    0.000    0.000 threading.py:925(_set_tstate_lock)
        1    0.000    0.000    0.000    0.000 threading.py:95(_RLock)
        1    0.000    0.000    0.000    0.000 threads.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:227(FrameSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:318(StackSummary)
        1    0.000    0.000    0.000    0.000 traceback.py:440(TracebackException)
        1    0.000    0.000    0.004    0.004 transports.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transports.py:14(__init__)
        1    0.000    0.000    0.000    0.000 transports.py:142(Transport)
        1    0.000    0.000    0.000    0.000 transports.py:166(DatagramTransport)
        1    0.002    0.002    0.002    0.002 transports.py:191(SubprocessTransport)
        1    0.000    0.000    0.000    0.000 transports.py:245(_FlowControlMixin)
        1    0.000    0.000    0.000    0.000 transports.py:264(__init__)
        1    0.000    0.000    0.000    0.000 transports.py:308(_set_write_buffer_limits)
        1    0.000    0.000    0.000    0.000 transports.py:46(ReadTransport)
        1    0.000    0.000    0.000    0.000 transports.py:72(WriteTransport)
        1    0.000    0.000    0.000    0.000 transports.py:9(BaseTransport)
