         177186 function calls (176234 primitive calls) in 15.302 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       93    0.044    0.000    0.437    0.005 <frozen importlib._bootstrap_external>:921(get_code)
       20    0.002    0.000    0.011    0.001 <frozen zipimport>:63(__init__)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       19    0.015    0.001    1.472    0.077 __init__.py:1(<module>)
       18    0.001    0.000    0.020    0.001 __init__.py:101(get_device_compatible)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.001    0.001 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        2    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
        3    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       14    0.001    0.000    0.001    0.000 __init__.py:142(_check_size)
      857    0.021    0.000    0.044    0.000 __init__.py:1424(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:16(Pin)
        1    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        2    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
      857    0.023    0.000    0.023    0.000 __init__.py:1689(isEnabledFor)
        1    0.001    0.001    0.156    0.156 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.001    0.001 __init__.py:1908(basicConfig)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
        6    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        2    0.000    0.000    0.001    0.001 __init__.py:2034(getLogger)
      856    0.068    0.000    0.119    0.000 __init__.py:2099(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
       10    0.000    0.000    0.001    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.045    0.045 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
       10    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        2    0.000    0.000    0.001    0.000 __init__.py:246(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.001    0.001    0.001    0.001 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:34(Detector)
        1    0.000    0.000    0.001    0.001 __init__.py:340(__init__)
        6    0.006    0.001    0.016    0.003 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:37(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:39(ContextManaged)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.190    0.190 __init__.py:4(<module>)
        1    0.000    0.000    0.011    0.011 __init__.py:41(get_cpuinfo_field)
        1    0.000    0.000    0.028    0.028 __init__.py:411(PercentStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:418(__init__)
       26    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:424(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.043    0.043 __init__.py:439(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:469(StringTemplateStyle)
        3    0.000    0.000    0.001    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:508(Formatter)
        2    0.000    0.000    0.000    0.000 __init__.py:553(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:56(Lockable)
       17    0.001    0.000    0.019    0.001 __init__.py:57(check_dt_compatible_value)
     2307    0.039    0.000    0.039    0.000 __init__.py:61(try_lock)
     2307    0.041    0.000    0.041    0.000 __init__.py:68(unlock)
        1    0.000    0.000    0.000    0.000 __init__.py:687(BufferingFormatter)
        1    0.000    0.000    0.104    0.104 __init__.py:70(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:729(Filter)
        2    0.000    0.000    0.001    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:766(Filterer)
        5    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:838(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:848(Handler)
        2    0.000    0.000    0.001    0.001 __init__.py:857(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:886(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:9(Enum)
        1    0.000    0.000    0.000    0.000 __init__.py:957(setFormatter)
        1    0.000    0.000    0.000    0.000 _base.py:113(_AllCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:143(_AcquireFutures)
        1    0.000    0.000    0.000    0.000 _base.py:314(Future)
        1    0.000    0.000    0.180    0.180 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:45(Error)
        1    0.000    0.000    0.000    0.000 _base.py:49(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:53(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:558(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:57(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:61(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:76(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:98(_FirstCompletedWaiter)
       19    0.001    0.000    0.002    0.000 _bootlocale.py:33(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:156(__subclasshook__)
        9    0.000    0.000    0.002    0.000 _collections_abc.py:759(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.002    0.002 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:59(__iter__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:68(__len__)
        6    0.000    0.000    0.001    0.000 _weakrefset.py:82(add)
        2    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        9    0.001    0.000    0.004    0.000 abc.py:84(__new__)
        2    0.000    0.000    0.001    0.000 abc.py:96(__instancecheck__)
        1    0.000    0.000    0.026    0.026 base64.py:3(<module>)
        1    0.001    0.001    1.129    1.129 base_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base_events.py:103(_ipaddr_info)
        2    0.000    0.000    0.003    0.002 base_events.py:1240(create_datagram_endpoint)
        1    0.000    0.000    0.000    0.000 base_events.py:1309(<listcomp>)
        1    0.000    0.000    0.000    0.000 base_events.py:1387(_ensure_resolved)
      857    0.050    0.000    0.071    0.000 base_events.py:1797(_add_callback)
      261    0.002    0.000    0.002    0.000 base_events.py:1810(_timer_handle_cancelled)
      912    0.262    0.000   10.369    0.011 base_events.py:1815(_run_once)
        3    0.000    0.000    0.001    0.000 base_events.py:184(_run_until_complete_cb)
        8    0.000    0.000    0.000    0.000 base_events.py:1893(_set_coroutine_origin_tracking)
     1063    0.009    0.000    0.009    0.000 base_events.py:1908(get_debug)
        1    0.000    0.000    0.000    0.000 base_events.py:1911(set_debug)
        1    0.000    0.000    0.000    0.000 base_events.py:205(_SendfileFallbackProtocol)
        1    0.000    0.000    0.000    0.000 base_events.py:273(Server)
        1    0.001    0.001    0.001    0.001 base_events.py:384(BaseEventLoop)
        1    0.001    0.001    0.001    0.001 base_events.py:386(__init__)
      262    0.016    0.000    0.018    0.000 base_events.py:422(create_future)
        3    0.001    0.000    0.001    0.000 base_events.py:426(create_task)
      546    0.005    0.000    0.005    0.000 base_events.py:508(_check_closed)
        1    0.000    0.000    0.000    0.000 base_events.py:530(shutdown_asyncgens)
        1    0.000    0.000    0.000    0.000 base_events.py:556(shutdown_default_executor)
        8    0.000    0.000    0.000    0.000 base_events.py:576(_check_running)
        4    0.034    0.009   10.407    2.602 base_events.py:583(run_forever)
        4    0.001    0.000   10.412    2.603 base_events.py:606(run_until_complete)
        3    0.000    0.000    0.000    0.000 base_events.py:644(stop)
